Категория,Название товара,Цена,Ссылка
Жесткие диски и SSD,SSD Kingston SNV2S/1000G 1000 Гб,31799.0,https://kaspi.kz/shop/p/ssd-kingston-snv2s-1000g-1000-gb-107232387/?c=750000000
Жесткие диски и SSD,SSD Kingston SA400S37/480G 480 Гб,19200.0,https://kaspi.kz/shop/p/ssd-kingston-sa400s37-480g-480-gb-6800659/?c=750000000
Жесткие диски и SSD,SSD Hikvision HS-SSD-E100/512G 512 ГБ,19600.0,https://kaspi.kz/shop/p/ssd-hikvision-hs-ssd-e100-512g-512-gb-100081417/?c=750000000
Жесткие диски и SSD,SSD Kingston SA400S37 240 ГБ,13800.0,https://kaspi.kz/shop/p/ssd-kingston-sa400s37-240-gb-6800658/?c=750000000
Жесткие диски и SSD,SSD Hikvision E100 HS-SSD-E100/256G 256 ГБ,9097.0,https://kaspi.kz/shop/p/ssd-hikvision-e100-hs-ssd-e100-256g-256-gb-100083454/?c=750000000
Жесткие диски и SSD,SSD MCPoint MC256 256 ГБ,8633.0,https://kaspi.kz/shop/p/ssd-mcpoint-mc256-256-gb-101987378/?c=750000000
Жесткие диски и SSD,SSD Kingston NV2 SNV2S/500G 500 Гб,23767.0,https://kaspi.kz/shop/p/ssd-kingston-nv2-snv2s-500g-500-gb-107632539/?c=750000000
Жесткие диски и SSD,SSD Kingston SA400S37 960 ГБ,31973.0,https://kaspi.kz/shop/p/ssd-kingston-sa400s37-960-gb-6801093/?c=750000000
Жесткие диски и SSD,SSD Patriot P210S256G25 256 ГБ,8680.0,https://kaspi.kz/shop/p/ssd-patriot-p210s256g25-256-gb-100493432/?c=750000000
Жесткие диски и SSD,SSD Patriot P210S512G25 512 ГБ,14100.0,https://kaspi.kz/shop/p/ssd-patriot-p210s512g25-512-gb-101016511/?c=750000000
Жесткие диски и SSD,SSD Apacer AS350X AP512GAS350XR-1 512 ГБ,18170.0,https://kaspi.kz/shop/p/ssd-apacer-as350x-ap512gas350xr-1-512-gb-101137125/?c=750000000
Жесткие диски и SSD,SSD Hikvision E100 HS-SSD-E100 1024 Гб,28790.0,https://kaspi.kz/shop/p/ssd-hikvision-e100-hs-ssd-e100-1024-gb-102105297/?c=750000000
Жесткие диски и SSD,SSD Kingston KC3000 SKC3000S/1024G 1024 Гб,53290.0,https://kaspi.kz/shop/p/ssd-kingston-kc3000-skc3000s-1024g-1024-gb-103346319/?c=351010000
Жесткие диски и SSD,SSD Kingston NV2 SNV2S/500G 500 Гб,23767.0,https://kaspi.kz/shop/p/ssd-kingston-nv2-snv2s-500g-500-gb-107632539/?c=351010000
Жесткие диски и SSD,SSD MCPoint MC256 256 ГБ,8633.0,https://kaspi.kz/shop/p/ssd-mcpoint-mc256-256-gb-101987378/?c=351010000
Жесткие диски и SSD,SSD Hikvision E100 HS-SSD-E100 1024 Гб,28790.0,https://kaspi.kz/shop/p/ssd-hikvision-e100-hs-ssd-e100-1024-gb-102105297/?c=351010000
Жесткие диски и SSD,Apacer AS350X AP1TBAS350XR-1 1TB,30517.0,https://kaspi.kz/shop/p/apacer-as350x-ap1tbas350xr-1-1tb-101418668/?c=351010000
Жесткие диски и SSD,MCPoint MC512 512GB,12900.0,https://kaspi.kz/shop/p/mcpoint-mc512-512gb-101987395/?c=351010000
Жесткие диски и SSD,SSD Kingston Fury Renegade SFYRS/1000G 1000 Гб,53980.0,https://kaspi.kz/shop/p/ssd-kingston-fury-renegade-sfyrs-1000g-1000-gb-103346309/?c=351010000
Жесткие диски и SSD,SSD AMD R5SL512G 512 ГБ,14348.0,https://kaspi.kz/shop/p/ssd-amd-r5sl512g-512-gb-108162339/?c=351010000
Жесткие диски и SSD,SSD Kingston KC600 SKC600 512 Гб,25000.0,https://kaspi.kz/shop/p/ssd-kingston-kc600-skc600-512-gb-100070670/?c=351010000
Жесткие диски и SSD,SSD Kingston SNV3S/500G 500 Гб,22967.0,https://kaspi.kz/shop/p/ssd-kingston-snv3s-500g-500-gb-124121199/?c=351010000
Жесткие диски и SSD,SSD Kingston KC3000 SKC3000D/2048G 2000 ГБ,91682.0,https://kaspi.kz/shop/p/ssd-kingston-kc3000-skc3000d-2048g-2000-gb-103645296/?c=351010000
Жесткие диски и SSD,SSD Apacer AS350X AP512GAS350XR-1 512 ГБ,23500.0,https://kaspi.kz/shop/p/ssd-apacer-as350x-ap512gas350xr-1-512-gb-101137125/?c=351010000
Жесткие диски и SSD,SSD MCPoint MCM2 NVME 512 Гб,14990.0,https://kaspi.kz/shop/p/ssd-mcpoint-mcm2-nvme-512-gb-121200752/?c=351010000
