Название;Цена
Внутренний SSD M.2 2280 1TB Kingston NV3 PCIe 4.0 x4 NVMe 3D TLC [SNV3S/1000G];31 390 ₸
"Внутренний SSD 2.5"" 7мм 960GB Kingston SATA-III TLC (SA400S37/960G)";29 990 ₸
"Внутренний SSD 2.5"" 7мм 480GB Kingston A400, SATA-III TLC (SA400S37/480G)";19 750 ₸
Внутренний SSD M.2 2280 1TB Kingston NV2 PCIe 4.0 x4 NVMe 3D TLC (SNV2S/1000G);32 490 ₸
Видеокарта ASUS Dual RTX 4060 EVO OC 8GB 128bit/G6 (HDMI+3DP)(DUAL-RTX4060-O8G-EVO);199 990 ₸
Внутренний SSD M.2 2280 1000GB Kingston Fury Renegade PCIe 4.0 x4 (SFYRS/1000G);53 990 ₸
Видеокарта Gigabyte RTX 4060 GAMING OC 8GB 128bit/G6X (2HDMI+2DP)(GV-N4060GAMING OC-8GD);216 990 ₸
"Внутренний SSD 2.5"" 7мм 1024GB Hikvision E100 SATA-III 3D TLC (HS-SSD-E100/1024G)";28 790 ₸
Оперативная память DDR5 DIMM 32GB(16GBx2)/5600Mhz PC5-44800 Kingston FURY Beast EXPO RGB;60 990 ₸
Видеокарта ZOTAC Gaming RTX 4060 Twin Edge 8GB 128bit/G6 (HDMI+3DP)(ZT-D40600E-10M);192 990 ₸
Внутренний SSD M.2 2280 1024GB Kingston KC3000 PCIe 4.0 x4 (SKC3000S/1024G);53 290 ₸
Материнская плата Gigabyte B760M DS3H LGA1700 4DDR4 PCI-E 1x16 2x1 (HDMI+2DP) mATX;59 990 ₸
Оперативная память DDR4 DIMM 32GB(16GBx2)/3200MHz Kingston Fury Beast (KF432C16BBK2/32);34 590 ₸
Внутренний SSD M.2 2280 500G Kingston NV3 PCIe 4.0 x4 NVMe 3D TLC [SNV3S/500G];22 980 ₸
"Внутренний SSD 2.5"" 7мм 512GB Patriot SATA-III TLC (P210S512G25)";14 590 ₸
