Название,Цена,Категория,Ссылка
"Процессор AMD Ryzen 5 PRO 4655G, AM4, OEM",52 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-pro-4655g-am4-oem/
"Процессор AMD Ryzen 7 9800X3D, AM5, OEM",419 900 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-9800x3d-am5-oem/
"Процессор Intel Core Ultra 9 285K, LGA1851, OEM",389 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-ultra-9-285k-lga1851-oem/
"Процессор Intel Core Ultra 7 265KF, LGA1851, OEM",247 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-ultra-7-265kf-lga1851-oem/
"Процессор Intel Core Ultra 7 265K, LGA1851, OEM",249 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-ultra-7-265k-lga1851-oem/
"Процессор Intel Core Ultra 5 245K, LGA1851, OEM",193 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-ultra-5-245k-lga1851-oem/
"Процессор AMD Ryzen 9 9950X, AM5, OEM",377 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-9-9950x-am5-oem/
"Процессор AMD Ryzen 9 9900X, AM5, OEM",259 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-9-9900x-am5-oem/
"Процессор AMD Ryzen 5 9600X, AM5, OEM",119 400 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-9600x-am5-oem/
"Процессор AMD Ryzen 5 5500GT, AM4, OEM",58 590 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-5500gt-am4-oem/
"Процессор AMD Ryzen 7 9700X, AM5, OEM",179 200 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-9700x-am5-oem/
"Процессор AMD Ryzen 5 8400F, AM5, OEM",57 490 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-8400f-am5-oem/
"Процессор AMD Ryzen 5 8600G, AM5, BOX",114 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-8600g-am5-box/
"Процессор AMD Ryzen 5 8500G, AM5, BOX",94 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-8500g-am5-box/
"Процессор AMD Ryzen 7 8700G, AM5, OEM",153 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-8700g-am5-oem/
"Процессор AMD Ryzen 5 8600G, AM5, OEM",99 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-8600g-am5-oem/
"Процессор Intel Core i7 14700, LGA1700, OEM",196 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-14700-lga1700-oem/
"Процессор AMD Ryzen 5 5600GT, AM4, OEM",69 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-5600gt-am4-oem/
"Процессор AMD Ryzen 7 5700X3D, AM4, OEM",107 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-5700x3d-am4-oem/
"Процессор Intel Core i5 14400, LGA1700, BOX",127 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-14400-lga1700-box/
"Процессор AMD Ryzen 5 8500G, AM5, OEM",78 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-8500g-am5-oem/
"Процессор Intel Core i7 14700F, LGA1700, OEM",188 600 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-14700f-lga1700-oem/
"Процессор Intel Core i5 14400F, LGA1700, OEM",101 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-14400f-lga1700-oem/
"Процессор Intel Core i5 14500, LGA1700, OEM",130 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-14500-lga1700-oem/
"Процессор Intel Core i5 14400, LGA1700, OEM",107 390 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-14400-lga1700-oem/
"Процессор Intel Core i3 14100F, LGA1700, OEM",46 200 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-14100f-lga1700-oem/
"Процессор Intel Core i3 14100, LGA1700, OEM",62 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-14100-lga1700-oem/
"Процессор Intel Core i7 14700KF, LGA1700, BOX - без кулера",239 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-14700kf-lga1700-box-bez-kulera/
"Процессор Intel Core i7 13700F, LGA1700, BOX",189 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-13700f-lga1700-box/
"Процессор Intel Core i3 13100F, LGA1700, BOX",43 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-13100f-lga1700-box/
"Процессор AMD Ryzen 7 7700, AM5, OEM",128 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-7700-am5-oem/
"Процессор AMD Ryzen 5 7600, AM5, OEM",99 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-7600-am5-oem/
"Процессор Intel Core i9 14900KF, LGA1700, OEM",275 490 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-14900kf-lga1700-oem/
"Процессор Intel Core i9 14900K, LGA1700, OEM",292 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-14900k-lga1700-oem/
"Процессор Intel Core i7 14700KF, LGA1700, OEM",205 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-14700kf-lga1700-oem/
"Процессор Intel Core i7 14700K, LGA1700, OEM",227 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-14700k-lga1700-oem/
"Процессор Intel Core i5 14600KF, LGA1700, OEM",118 900 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-14600kf-lga1700-oem/
"Процессор Intel Core i5 14600K, LGA1700, OEM",142 900 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-14600k-lga1700-oem/
"Процессор AMD A6-9500, AM4, OEM - с кулером",14 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-a6-9500-am4-oem-s-kulerom/
"Процессор AMD Ryzen 5 7500F, AM5, OEM",89 290 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-7500f-am5-oem/
"Процессор Intel Core i9 12900, LGA1700, OEM (SN:X212K037-01237)",216 900 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-12900-lga1700-oem-sn-x212k037-01237/
"Процессор AMD Ryzen 5 5500, AM4, OEM",39 900 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-5500-am4-oem/
"Процессор Intel Core i9 13900, LGA1700, OEM",296 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-13900-lga1700-oem/
"Процессор Intel Core i9 13900F, LGA1700, OEM",291 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-13900f-lga1700-oem/
"Процессор Intel Core i5 13500, LGA1700, OEM",133 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-13500-lga1700-oem/
"Процессор AMD Ryzen 5 5600, AM4, OEM",51 900 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-5600-am4-oem/
"Процессор AMD Ryzen 9 7950X, AM5, OEM",288 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-9-7950x-am5-oem/
"Процессор AMD Ryzen 5 4500, AM4, OEM",36 590 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-4500-am4-oem/
"Процессор AMD Ryzen 3 4100, AM4, OEM",33 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-4100-am4-oem/
"Процессор Intel Core i9 13900KF, LGA1700, OEM",279 200 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-13900kf-lga1700-oem/
"Процессор Intel Core i7 13700F, LGA1700, OEM",149 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-13700f-lga1700-oem/
"Процессор Intel Core i7 13700, LGA1700, OEM",199 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-13700-lga1700-oem/
"Процессор Intel Core i5 13400F, LGA1700, OEM",68 600 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-13400f-lga1700-oem/
"Процессор Intel Core i5 13400, LGA1700, OEM",86 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-13400-lga1700-oem/
"Процессор Intel Core i3 13100F, LGA1700, OEM",39 400 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-13100f-lga1700-oem/
"Процессор Intel Core i3 13100, LGA1700, OEM",63 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-13100-lga1700-oem/
"Процессор AMD Ryzen 7 5700X, AM4, OEM",78 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-5700x-am4-oem/
"Процессор AMD Ryzen 3 4100, BOX",43 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-4100-box/
"Процессор AMD Ryzen 5 7600X, AM5, OEM",117 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-7600x-am5-oem/
"Процессор AMD Ryzen 9 7900X, AM5, OEM",219 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-9-7900x-am5-oem/
"Процессор Intel Core i5 13600KF, LGA1700, OEM",119 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-13600kf-lga1700-oem/
"Процессор Intel Core i5 13600K, LGA1700, OEM",148 700 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-13600k-lga1700-oem/
"Процессор Intel Core i7 13700KF, LGA1700, OEM",179 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-13700kf-lga1700-oem/
"Процессор Intel Core i7 13700K, LGA1700, OEM",208 090 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-13700k-lga1700-oem/
"Процессор Intel Core i9 13900K, LGA1700, OEM",295 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-13900k-lga1700-oem/
"Процессор AMD Ryzen 3 PRO 1200, AM4, OEM (SN:be267a0e-7997-42d9-a112-68be3a440cf9)",36 900 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-pro-1200-am4-oem-sn-be267a0e-7997-42d9-a112-68be3a440cf9/
